ScannedBarcode,CountOfMRP,MRP,Conversion,Check MRP,CombiBarCode+MRP,SBF,Category,Picking_Status,CombiBarCode+MRP+Conversion,QtyPicked
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176335142,#REF!,52,#REF!,OK,4987176335142_52,,,#REF!,#REF!,0
4987176280596,#REF!,150,#REF!,OK,4987176280596_150,,,#REF!,#REF!,5
14987176280593,#REF!,150,#REF!,OK,14987176280593_150,,,#REF!,#REF!,0
14987176280593,#REF!,150,#REF!,OK,14987176280593_150,,,#REF!,#REF!,0
14987176280593,#REF!,150,#REF!,OK,14987176280593_150,,,#REF!,#REF!,0
4987176283542,#REF!,1299,#REF!,OK,4987176283542_1299,,,#REF!,#REF!,0
4987176283702,#REF!,1199,#REF!,OK,4987176283702_1199,,,#REF!,#REF!,0
4987176223821,#REF!,999,#REF!,OK,4987176223821_999,,,#REF!,#REF!,0
4987176223807,#REF!,1999,#REF!,OK,4987176223807_1999,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176102072,#REF!,110,#REF!,OK,4987176102072_110,,,#REF!,#REF!,0
4987176093875,#REF!,125,#REF!,OK,4987176093875_125,,,#REF!,#REF!,10
4987176303363,#REF!,25,#REF!,OK,4987176303363_25,,,#REF!,#REF!,8
4987176278531,#REF!,49,#REF!,OK,4987176278531_49,,,#REF!,#REF!,0
4987176278531,#REF!,49,#REF!,OK,4987176278531_49,,,#REF!,#REF!,0
4987176278531,#REF!,49,#REF!,OK,4987176278531_49,,,#REF!,#REF!,0
4987176278548,#REF!,99,#REF!,OK,4987176278548_99,,,#REF!,#REF!,0
4987176278531,#REF!,49,#REF!,OK,4987176278531_49,,,#REF!,#REF!,0
4987176278531,#REF!,49,#REF!,OK,4987176278531_49,,,#REF!,#REF!,0
4987176281227,#REF!,85,#REF!,OK,4987176281227_85,,,#REF!,#REF!,0
4987176281227,#REF!,85,#REF!,OK,4987176281227_85,,,#REF!,#REF!,0
4987176281227,#REF!,85,#REF!,OK,4987176281227_85,,,#REF!,#REF!,0
4987176281227,#REF!,85,#REF!,OK,4987176281227_85,,,#REF!,#REF!,0
4987176281227,#REF!,85,#REF!,OK,4987176281227_85,,,#REF!,#REF!,0
4987176093738,#REF!,99,#REF!,OK,4987176093738_99,,,#REF!,#REF!,0
4987176093738,#REF!,99,#REF!,OK,4987176093738_99,,,#REF!,#REF!,0
4987176093738,#REF!,99,#REF!,OK,4987176093738_99,,,#REF!,#REF!,0
4987176093738,#REF!,99,#REF!,OK,4987176093738_99,,,#REF!,#REF!,0
4987176093738,#REF!,99,#REF!,OK,4987176093738_99,,,#REF!,#REF!,0
4987176093738,#REF!,99,#REF!,OK,4987176093738_99,,,#REF!,#REF!,0
4987176030023,#REF!,49,#REF!,OK,4987176030023_49,,,#REF!,#REF!,0
4987176030023,#REF!,49,#REF!,OK,4987176030023_49,,,#REF!,#REF!,0
4987176030023,#REF!,49,#REF!,OK,4987176030023_49,,,#REF!,#REF!,0
4987176030023,#REF!,49,#REF!,OK,4987176030023_49,,,#REF!,#REF!,0
4987176093714,#REF!,99,#REF!,OK,4987176093714_99,,,#REF!,#REF!,0
4987176093714,#REF!,99,#REF!,OK,4987176093714_99,,,#REF!,#REF!,0
4987176150585,#REF!,71,#REF!,OK,4987176150585_71,,,#REF!,#REF!,0
4987176150585,#REF!,71,#REF!,OK,4987176150585_71,,,#REF!,#REF!,0
4987176340757,#REF!,40,#REF!,OK,4987176340757_40,,,#REF!,#REF!,0
4987176340757,#REF!,40,#REF!,OK,4987176340757_40,,,#REF!,#REF!,0
4987176340757,#REF!,40,#REF!,OK,4987176340757_40,,,#REF!,#REF!,0
4987176340757,#REF!,40,#REF!,OK,4987176340757_40,,,#REF!,#REF!,0
4987176340757,#REF!,40,#REF!,OK,4987176340757_40,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4987176340740,#REF!,45,#REF!,OK,4987176340740_45,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
