CombiBarCode+MRP,company,category,brand,BrandForm,SBF,BarCode,UPC,MRP,SLP,RLP,CountOfMRP,Conversion,Combi,Mono,Units
4987176330024_578,PGHP,Hair Care,H&S,H&S 2-in-1 Bottle,H&S Bare PC 400ml,4.98718E+12,24,578,495.41,516.07,1,Singles,4987176330024_578_Singles,1,1
4987176330765_749,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liq 3.6L Pch TL LV,4.98718E+12,3,749,653.65,680.91,2,Singles,4987176330765_749_Singles,1,1
4987176330765_809,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liq 3.6L Pch TL LV,4.98718E+12,3,809,706.01,735.45,2,Singles,4987176330765_809_Singles,1,1
4987176330789_839,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liq 3.6L Pch FL LV,4.98718E+12,3,839,732.19,762.72,1,Singles,4987176330789_839_Singles,1,1
4987176330796_100,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid Rs.10 TL LV,4.98718E+12,18,100,84.8,88.34,1,Singles,4987176330796_100_Singles,1,1
4987176330826_100,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid Rs.10 FL LV,4.98718E+12,18,100,84.8,88.34,1,Singles,4987176330826_100_Singles,1,1
4987176331212_400,PGHP,Hair Care,H&S,H&S Bottles,H&S S&S 500ml,4.98718E+12,12,400,349.08,363.64,1,Singles,4987176331212_400_Singles,1,1
4987176331229_400,PGHP,Hair Care,H&S,H&S Bottles,H&S CM 500ml,4.98718E+12,12,400,349.08,363.64,1,Singles,4987176331229_400_Singles,1,1
4987176331243_360,PGHP,Hair Care,Pantene,Pantene Bottles,Pntn HFC 500ml,4.98718E+12,12,360,314.17,327.27,1,Singles,4987176331243_360_Singles,1,1
4987176331250_360,PGHP,Hair Care,Pantene,Pantene Bottles,Pntn SS 500ml,4.98718E+12,12,360,314.17,327.27,1,Singles,4987176331250_360_Singles,1,1
4987176331458_219,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid 900ML FL LV,4.98718E+12,12,219,191.12,199.09,1,Singles,4987176331458_219_Singles,1,1
4987176331465_189,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid 900ML TL LV,4.98718E+12,12,189,164.94,171.82,2,Singles,4987176331465_189_Singles,1,1
4987176331465_195,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid 900ML TL LV,4.98718E+12,12,195,170.18,177.28,2,Singles,4987176331465_195_Singles,1,1
